pose_id,session_id,recorded_at_utc,yaw_deg,pitch_deg,roll_deg,yaw_raw_deg,yaw0_deg,yaw_stddev_deg,pitch_stddev_deg,roll_stddev_deg,imu_samples,magnetic_samples,S1_Bx_raw_mT,S1_By_raw_mT,S1_Bz_raw_mT,S2_Bx_raw_mT,S2_By_raw_mT,S2_Bz_raw_mT,S1_Bx_stddev_mT,S1_By_stddev_mT,S1_Bz_stddev_mT,S2_Bx_stddev_mT,S2_By_stddev_mT,S2_Bz_stddev_mT,S1_Bx_corrected_mT,S1_By_corrected_mT,S1_Bz_corrected_mT,S2_Bx_corrected_mT,S2_By_corrected_mT,S2_Bz_corrected_mT
0,yaw-bias-01,2026-07-17T15:21:28.394463+00:00,-0.318530,-0.528232,-0.301712,0.007087,0.325617,0.004946,0.003771,0.002077,217,32,0.290938,-4.238500,1.754813,-1.641500,2.174375,-0.722750,0.104084,0.140811,0.112316,0.102632,0.106884,0.092302,0.347083,-4.315828,1.797432,-1.720104,2.104958,-0.697229
1,yaw-bias-01,2026-07-17T15:21:48.537052+00:00,-60.237902,0.127367,0.569666,-59.912285,0.325617,0.001480,0.002226,0.010902,217,32,-2.039625,-2.646000,1.099438,0.220500,3.724000,-1.365875,0.115252,0.108502,0.088828,0.089749,0.074676,0.099373,-1.983479,-2.723328,1.142057,0.141896,3.654583,-1.340354
2,yaw-bias-01,2026-07-17T15:22:00.480404+00:00,-30.440141,-0.944069,-0.836604,-30.114524,0.325617,0.002498,0.014052,0.003886,210,32,-0.915687,-4.330375,1.733375,-0.594125,3.374875,-1.240312,0.118360,0.137330,0.130386,0.102444,0.116588,0.110228,-0.859542,-4.407703,1.775995,-0.672729,3.305458,-1.214792
3,yaw-bias-01,2026-07-17T15:22:25.958523+00:00,-0.469087,-1.242806,-0.765128,-0.143470,0.325617,0.010486,0.004586,0.002003,211,32,0.333813,-4.508000,1.800750,-1.555750,2.189687,-0.759500,0.078160,0.099568,0.123836,0.069296,0.081078,0.099568,0.389958,-4.585328,1.843370,-1.634354,2.120271,-0.733979
4,yaw-bias-01,2026-07-17T15:22:41.551639+00:00,30.652813,0.700004,-0.198409,30.978430,0.325617,0.130310,0.007479,0.003265,210,32,1.344437,-3.188063,1.280125,-2.257062,0.006125,0.107188,0.149838,0.126887,0.108323,0.104084,0.102444,0.067528,1.400583,-3.265391,1.322745,-2.335667,-0.063292,0.132708
5,yaw-bias-01,2026-07-17T15:22:51.380538+00:00,60.491587,-3.925255,-1.422127,60.817204,0.325617,0.013847,0.004963,0.007529,210,32,2.578625,-2.189687,0.863625,-1.620062,-1.589438,0.624750,0.100920,0.113004,0.127988,0.099519,0.088828,0.073632,2.634771,-2.267016,0.906245,-1.698667,-1.658854,0.650271
