sample,elapsed_s,yaw_raw_deg,pitch_raw_deg,roll_raw_deg
143,0.735101,0.322270,0.912746,1.097381
144,0.735114,0.322456,0.912828,1.097048
145,0.735126,0.322749,0.912998,1.097903
146,0.770091,0.322502,0.913002,1.096952
147,0.770104,0.322869,0.913128,1.097098
148,0.770116,0.322916,0.912530,1.096926
149,0.770140,0.320089,0.913045,1.097286
150,0.770185,0.319826,0.912982,1.097085
151,0.770198,0.319283,0.913019,1.097135
152,0.770211,0.319238,0.913835,1.097826
153,0.805029,0.319527,0.914228,1.097890
154,0.805048,0.319700,0.914841,1.097946
155,0.805061,0.319116,0.914936,1.097435
156,0.805091,0.318821,0.914725,1.097966
157,0.805104,0.318945,0.914424,1.098056
158,0.805117,0.318855,0.914881,1.098418
159,0.805131,0.317455,0.914750,1.097701
160,0.836011,0.317375,0.914980,1.098440
161,0.836029,0.321908,0.915225,1.098557
162,0.836042,0.321713,0.915443,1.098993
163,0.836071,0.322711,0.915000,1.099082
164,0.836083,0.322579,0.914641,1.098342
165,0.836096,0.322217,0.914010,1.098694
166,0.836108,0.322373,0.914600,1.099122
167,0.870102,0.322532,0.914347,1.099041
168,0.870115,0.322358,0.914645,1.098563
169,0.870128,0.322420,0.915301,1.099422
170,0.870148,0.321850,0.914462,1.098631
171,0.870161,0.320892,0.913958,1.098732
172,0.870173,0.321673,0.914455,1.099134
173,0.870188,0.323586,0.914536,1.099095
174,0.906048,0.323350,0.914823,1.099857
175,0.906111,0.323134,0.915008,1.099589
176,0.906145,0.323361,0.914428,1.099815
177,0.906188,0.323689,0.915412,1.100075
178,0.906203,0.323690,0.915782,1.100425
179,0.906217,0.323420,0.915695,1.100569
180,0.906231,0.324079,0.916236,1.100493
181,0.940040,0.323972,0.916234,1.099769
182,0.940059,0.324377,0.915765,1.100424
183,0.940073,0.323587,0.915582,1.099477
184,0.940086,0.323951,0.915628,1.099166
185,0.940117,0.322800,0.914780,1.098322
186,0.940131,0.322612,0.914560,1.097876
187,0.940144,0.323100,0.914105,1.098938
188,0.975041,0.323322,0.913848,1.099503
189,0.975059,0.323446,0.913041,1.100167
190,0.975081,0.323753,0.912770,1.099416
191,0.975094,0.323032,0.912635,1.100230
192,0.975126,0.323760,0.912668,1.099848
193,0.975138,0.323883,0.912905,1.100092
194,0.975152,0.324430,0.912282,1.098902
195,1.005934,0.324358,0.912374,1.099579
196,1.005951,0.324422,0.911756,1.099496
197,1.005964,0.325938,0.911440,1.100663
198,1.005977,0.326024,0.911384,1.101390
199,1.005999,0.325944,0.911921,1.102154
