pose_id,session_id,recorded_at_utc,yaw_deg,pitch_deg,roll_deg,yaw_raw_deg,yaw0_deg,yaw_stddev_deg,pitch_stddev_deg,roll_stddev_deg,imu_samples,magnetic_samples,S1_Bx_raw_mT,S1_By_raw_mT,S1_Bz_raw_mT,S2_Bx_raw_mT,S2_By_raw_mT,S2_Bz_raw_mT,S1_Bx_stddev_mT,S1_By_stddev_mT,S1_Bz_stddev_mT,S2_Bx_stddev_mT,S2_By_stddev_mT,S2_Bz_stddev_mT,S1_Bx_corrected_mT,S1_By_corrected_mT,S1_Bz_corrected_mT,S2_Bx_corrected_mT,S2_By_corrected_mT,S2_Bz_corrected_mT,yaw_imu_original_deg,heading_error_estimate_deg,yaw_model_frame_deg,dial_frame_offset_applied_deg
202,cal-20260717T104800Z,2026-07-17T11:32:34.505645+00:00,23.875474,-5.642296,10.221154,30.502065,0.325617,0.011068,0.009001,0.003363,217,32,-0.076563,-3.656625,1.546563,-1.304625,0.018375,0.137813,0.123797,0.115252,0.140225,0.106884,0.094582,0.102207,-0.020417,-3.733953,1.589182,-1.383229,-0.051042,0.163333,30.176448,-0.919086,29.257362,5.381888050930
203,cal-20260717T104800Z,2026-07-17T11:32:40.476698+00:00,14.237786,-5.722198,10.283384,20.914712,0.325617,0.006278,0.003399,0.004072,217,32,-0.490000,-3.846500,1.555750,-1.329125,0.437937,-0.021438,0.114070,0.131716,0.104872,0.099373,0.102585,0.110579,-0.433854,-3.923828,1.598370,-1.407729,0.368521,0.004083,20.589095,-0.969421,19.619674,5.381888050930
204,cal-20260717T104800Z,2026-07-17T11:32:49.009292+00:00,3.693111,-5.697121,10.336113,10.441965,0.325617,0.003460,0.004026,0.005071,211,32,-0.842187,-3.874062,1.598625,-1.283187,0.842187,-0.220500,0.146967,0.116712,0.106884,0.094325,0.108100,0.082558,-0.786042,-3.951391,1.641245,-1.361792,0.772771,-0.194979,10.116348,-1.041349,9.074999,5.381888050930
205,cal-20260717T104800Z,2026-07-17T11:32:56.207416+00:00,-6.499928,-5.720225,10.390301,0.309605,0.325617,0.014228,0.008722,0.010745,218,32,-1.203563,-3.800562,1.506750,-1.185188,1.237250,-0.379750,0.129903,0.126275,0.113389,0.103712,0.123836,0.095600,-1.147417,-3.877891,1.549370,-1.263792,1.167833,-0.354229,-0.016012,-1.102028,-1.118040,5.381888050930
206,cal-20260717T104800Z,2026-07-17T11:33:04.719965+00:00,-16.854941,-5.740554,10.383424,-9.973648,0.325617,0.006450,0.013782,0.010924,210,32,-1.592500,-3.644375,1.399563,-1.093312,1.555750,-0.535937,0.116754,0.120508,0.125042,0.105928,0.092302,0.093085,-1.536354,-3.721703,1.442182,-1.171917,1.486333,-0.510417,-10.299265,-1.173788,-11.473053,5.381888050930
207,cal-20260717T104800Z,2026-07-17T11:33:10.655367+00:00,-26.926105,-5.691718,10.411723,-19.994778,0.325617,0.004778,0.010255,0.014186,217,32,-1.877312,-3.387125,1.255625,-0.927937,1.858937,-0.633938,0.127192,0.121787,0.123052,0.093085,0.128102,0.074611,-1.821167,-3.464453,1.298245,-1.006542,1.789521,-0.608417,-20.320395,-1.223822,-21.544217,5.381888050930
208,cal-20260717T104800Z,2026-07-17T11:33:15.560799+00:00,-36.926728,-5.664021,10.429612,-29.954049,0.325617,0.006419,0.017802,0.014197,210,32,-2.152938,-2.989000,1.004500,-0.695188,2.061062,-0.728875,0.097951,0.119378,0.119378,0.100680,0.084356,0.082323,-2.096792,-3.066328,1.047120,-0.773792,1.991646,-0.703354,-30.279666,-1.265174,-31.544840,5.381888050930
209,cal-20260717T104800Z,2026-07-17T11:33:22.223280+00:00,-47.471667,-5.630090,10.410529,-40.442824,0.325617,0.002766,0.018447,0.017535,217,32,-2.394875,-2.456125,0.811562,-0.502250,2.183562,-0.814625,0.131569,0.145011,0.106293,0.088882,0.097157,0.076470,-2.338729,-2.533453,0.854182,-0.580854,2.114146,-0.789104,-40.768441,-1.321338,-42.089779,5.381888050930
210,cal-20260717T104800Z,2026-07-17T11:33:28.377986+00:00,-57.330556,-5.467646,10.412695,-50.249830,0.325617,0.018015,0.027300,0.051363,218,32,-2.520437,-1.846688,0.508375,-0.336875,2.241750,-0.842187,0.103338,0.129604,0.106884,0.102444,0.104872,0.110928,-2.464292,-1.924016,0.550995,-0.415479,2.172333,-0.816667,-50.575447,-1.373221,-51.948668,5.381888050930
211,cal-20260717T104800Z,2026-07-17T11:33:36.257112+00:00,-66.914979,-5.404734,10.643711,-59.767833,0.325617,0.025733,0.013282,0.062254,217,32,-2.603125,-1.194375,0.232750,-0.101062,2.321375,-0.897312,0.119216,0.135055,0.104872,0.097951,0.094582,0.070885,-2.546979,-1.271703,0.275370,-0.179667,2.251958,-0.871792,-60.093450,-1.439641,-61.533091,5.381888050930
212,cal-20260717T104800Z,2026-07-17T11:34:30.858481+00:00,54.376591,-5.615189,5.494908,61.206038,0.325617,0.010085,0.005403,0.010062,218,32,1.558812,-2.774625,1.249500,-1.270938,-1.240312,0.566562,0.132559,0.115252,0.131716,0.097951,0.104456,0.088828,1.614958,-2.851953,1.292120,-1.349542,-1.309729,0.592083,60.880421,-1.121942,59.758479,5.381888050930
213,cal-20260717T104800Z,2026-07-17T11:34:38.006455+00:00,44.323684,-5.554615,5.482608,51.102747,0.325617,0.029598,0.057428,0.020282,210,32,1.267875,-3.393250,1.482250,-1.402625,-0.780938,0.431812,0.129193,0.148833,0.116089,0.100920,0.091406,0.085722,1.324021,-3.470578,1.524870,-1.481229,-0.850354,0.457333,50.777130,-1.071558,49.705572,5.381888050930
214,cal-20260717T104800Z,2026-07-17T11:34:45.031047+00:00,34.375896,-5.455427,5.499526,41.105444,0.325617,0.015898,0.010998,0.003502,210,32,0.817688,-3.837312,1.626187,-1.457750,-0.281750,0.245000,0.120949,0.096757,0.110928,0.104872,0.110623,0.099568,0.873833,-3.914641,1.668807,-1.536354,-0.351167,0.270521,40.779827,-1.022043,39.757784,5.381888050930
215,cal-20260717T104800Z,2026-07-17T11:34:51.042552+00:00,23.704189,-5.485624,5.524619,30.391364,0.325617,0.012454,0.001902,0.008058,210,32,0.392000,-4.244625,1.760938,-1.500625,0.235813,0.027563,0.129343,0.084183,0.109876,0.084183,0.099130,0.087067,0.448146,-4.321953,1.803557,-1.579229,0.166396,0.053083,30.065747,-0.979670,29.086077,5.381888050930
216,cal-20260717T104800Z,2026-07-17T11:34:58.528254+00:00,13.936160,-5.516406,5.548492,20.570570,0.325617,0.016182,0.004101,0.003742,210,32,-0.058188,-4.477375,1.822188,-1.451625,0.676813,-0.186812,0.116380,0.094582,0.113687,0.080419,0.080117,0.106657,-0.002042,-4.554703,1.864807,-1.530229,0.607396,-0.161292,20.244953,-0.926905,19.318048,5.381888050930
217,cal-20260717T104800Z,2026-07-17T11:35:05.039205+00:00,4.129659,-5.579253,5.550176,10.718175,0.325617,0.003488,0.010007,0.005401,211,32,-0.545125,-4.590687,1.825250,-1.329125,1.169875,-0.333813,0.159265,0.131973,0.116089,0.105424,0.092929,0.069784,-0.488979,-4.668016,1.867870,-1.407729,1.100458,-0.308292,10.392558,-0.881011,9.511547,5.381888050930
218,cal-20260717T104800Z,2026-07-17T11:35:12.200965+00:00,-5.982491,-5.600034,5.604107,0.555543,0.325617,0.007591,0.008687,0.034713,217,32,-0.909563,-4.569250,1.828313,-1.225000,1.601687,-0.529813,0.100295,0.138033,0.107381,0.096406,0.088391,0.108100,-0.853417,-4.646578,1.870932,-1.303604,1.532271,-0.504292,0.229926,-0.830529,-0.600603,5.381888050930
219,cal-20260717T104800Z,2026-07-17T11:35:19.594445+00:00,-16.510577,-5.583740,5.732287,-10.024658,0.325617,0.002537,0.009836,0.005096,211,32,-1.362812,-4.410000,1.684375,-1.007562,1.917125,-0.679875,0.132559,0.114070,0.094582,0.093914,0.089533,0.092929,-1.306667,-4.487328,1.726995,-1.086167,1.847708,-0.654354,-10.350275,-0.778414,-11.128689,5.381888050930
220,cal-20260717T104800Z,2026-07-17T11:35:26.988304+00:00,-26.408335,-5.581834,5.860529,-19.974533,0.325617,0.002026,0.011520,0.011002,211,32,-1.724187,-4.171125,1.598625,-0.765625,2.177437,-0.774813,0.140501,0.155326,0.135055,0.130386,0.098738,0.090982,-1.668042,-4.248453,1.641245,-0.844229,2.108021,-0.749292,-20.300150,-0.726297,-21.026447,5.381888050930
