pose_id,yaw_truth,pitch_truth,roll_truth,B1x,B1y,B1z,B2x,B2y,B2z,temp_C
85,-61.687,-0.057,-0.050,-2.2907,-2.3459,0.9678,0.4349,3.5954,-1.2863,
86,-60.068,0.456,-6.515,-1.7762,-3.3687,1.4332,1.1270,4.2140,-1.4700,
87,-60.812,-6.392,6.126,-3.0503,-1.8497,0.5268,0.2083,2.5603,-0.9187,
88,-60.529,-6.631,0.166,-3.4912,-2.9155,0.9922,0.5329,2.6154,-0.9800,
89,-60.534,-6.653,-6.000,-3.3442,-4.6060,1.8069,1.0290,2.8910,-1.0167,
90,-80.499,6.120,6.117,-1.9539,-0.5941,0.2450,0.4410,3.8098,-1.3781,
91,-80.533,6.043,0.387,-1.9906,-0.6860,0.3246,1.0229,4.3855,-1.5558,
92,-80.888,6.472,-6.359,-1.9600,-1.3108,0.7228,2.1192,5.0776,-1.6721,
93,-80.362,-0.832,6.435,-2.4194,-0.1899,-0.0245,0.7105,2.9155,-1.1086,
94,-80.690,0.394,-0.358,-2.5725,-0.6921,0.3308,1.0841,3.2585,-1.1637,
95,-80.646,0.111,-6.774,-2.8910,-1.5129,0.8759,1.8743,3.4423,-1.1637,
96,-80.314,-6.330,6.238,-3.0503,0.1470,-0.3124,0.7105,2.2601,-0.8636,
97,-80.334,-6.431,0.278,-3.7362,-0.3185,0.0306,1.0351,2.3397,-0.8881,
98,-80.816,-6.832,-6.434,-4.5570,-1.6109,0.6860,1.5129,2.3765,-0.8024,
99,-100.221,6.444,6.708,-1.5925,0.5023,-0.2389,0.7534,3.2034,-1.2434,
100,-100.404,6.032,-0.621,-2.1560,0.4839,-0.0796,1.8620,3.6382,-1.3353,
101,-100.859,6.053,-6.025,-2.3214,0.1164,0.1225,2.7256,3.7669,-1.1331,
102,-100.567,-0.773,6.208,-2.2172,1.2740,-0.5941,1.1883,2.3887,-0.9433,
103,-100.250,0.676,0.092,-2.5970,0.9310,-0.3430,1.5986,2.6827,-0.9677,
