pose_index,pose,sample,elapsed_s,S1_Bx,S1_By,S1_Bz,S2_Bx,S2_By,S2_Bz,S1_attempts,S1_frame_counter,S1_registers_hex,S2_attempts,S2_frame_counter,S2_registers_hex
0,home,35,6.254899,0.196000,-3.822000,1.666000,-1.764000,2.352000,-0.784000,1,3,00fd011c290156830800,1,3,fe01ff1ce8085a830400
0,home,36,6.288337,0.490000,-3.920000,1.862000,-1.568000,2.254000,-0.882000,1,0,00fd0110580355830800,1,0,ff01ff10070759830400
0,home,37,6.321751,0.196000,-3.920000,1.666000,-1.666000,2.254000,-0.882000,1,1,00fd0114280154830800,1,1,fe01ff14f7075a830400
0,home,38,6.355138,0.196000,-3.920000,1.960000,-1.764000,2.156000,-0.980000,1,2,00fd0118280454830800,1,2,fe01ff18e6065a830400
0,home,39,6.388529,0.392000,-4.214000,1.960000,-1.666000,2.254000,-0.784000,1,3,00fd011c450455830800,1,3,fe01ff1cf7085a830400
0,home,40,6.421936,0.196000,-4.116000,1.764000,-1.666000,2.352000,-0.686000,1,0,00fd0110260252830800,1,0,fe01ff10f8095a830400
0,home,41,6.455331,0.294000,-4.116000,1.862000,-1.666000,2.352000,-0.784000,1,1,00fd0114360354830800,1,1,fe01ff14f8085a830400
0,home,42,6.488782,0.392000,-3.920000,1.666000,-1.568000,2.352000,-0.882000,1,2,00fd0118480154830800,1,2,ff01ff18080758830400
0,home,43,6.522193,0.392000,-3.822000,1.568000,-1.568000,2.156000,-0.784000,1,3,00fd011c490053830800,1,3,ff01ff1c06085a830400
0,home,44,6.555593,0.196000,-4.116000,1.666000,-1.666000,2.352000,-0.784000,1,0,00fd0110260155830800,1,0,fe01ff10f8085a830400
0,home,45,6.588984,0.000000,-4.116000,1.470000,-1.764000,2.254000,-0.686000,1,1,00fd0014060f53830800,1,1,fe01ff14e70959830400
0,home,46,6.622392,0.196000,-4.116000,1.666000,-1.764000,2.450000,-0.686000,1,2,00fd0118260155830800,1,2,fe01ff18e9095a830400
0,home,47,6.655787,0.196000,-4.018000,1.568000,-1.666000,2.254000,-0.686000,1,3,00fd011c270055830800,1,3,fe01ff1cf70959830400
0,home,48,6.689192,0.294000,-4.116000,1.568000,-1.568000,2.352000,-0.686000,1,0,00fd0110360056830800,1,0,ff01ff1008095a830400
0,home,49,6.722611,0.294000,-4.214000,1.764000,-1.862000,2.352000,-0.882000,1,1,00fd0114350254830800,1,1,fe01ff14d80759830400
0,home,50,6.756005,0.098000,-4.116000,1.960000,-1.666000,2.254000,-0.784000,1,2,00fd0118160455830800,1,2,fe01ff18f7085b830400
0,home,51,6.789397,0.294000,-4.116000,1.666000,-1.764000,2.450000,-0.588000,1,3,00fd011c360157830800,1,3,fe01ff1ce90a5a830400
0,home,52,6.822808,0.098000,-4.116000,1.862000,-1.568000,2.254000,-0.686000,1,0,00fd0110160355830800,1,0,ff01ff10070959830400
0,home,53,6.856200,0.196000,-3.920000,1.568000,-1.568000,2.254000,-0.980000,1,1,00fd0114280055830800,1,1,ff01ff1407065a830400
0,home,54,6.889600,0.392000,-4.116000,1.764000,-1.764000,2.352000,-0.784000,1,2,00fd0118460255830800,1,2,fe01ff18e8085a830400
0,home,55,6.923011,0.000000,-4.116000,1.568000,-1.764000,2.352000,-0.784000,1,3,00fd011c060055830800,1,3,fe01ff1ce8085b830400
0,home,56,6.956405,0.098000,-4.018000,1.666000,-1.764000,2.254000,-0.784000,1,0,00fd0110170155830800,1,0,fe01ff10e70859830400
0,home,57,6.989804,0.196000,-4.116000,1.764000,-1.862000,2.450000,-0.784000,1,1,00fd0114260254830800,1,1,fe01ff14d9085b830400
