pose_id,session_id,recorded_at_utc,yaw_deg,pitch_deg,roll_deg,yaw_raw_deg,yaw0_deg,yaw_stddev_deg,pitch_stddev_deg,roll_stddev_deg,imu_samples,magnetic_samples,S1_Bx_raw_mT,S1_By_raw_mT,S1_Bz_raw_mT,S2_Bx_raw_mT,S2_By_raw_mT,S2_Bz_raw_mT,S1_Bx_stddev_mT,S1_By_stddev_mT,S1_Bz_stddev_mT,S2_Bx_stddev_mT,S2_By_stddev_mT,S2_Bz_stddev_mT,S1_Bx_corrected_mT,S1_By_corrected_mT,S1_Bz_corrected_mT,S2_Bx_corrected_mT,S2_By_corrected_mT,S2_Bz_corrected_mT
170,cal-20260717T104800Z,2026-07-17T11:25:40.305279+00:00,-40.389568,-0.025599,0.181380,-40.063951,0.325617,0.011548,0.004666,0.060247,218,32,-1.506750,-3.497375,1.417938,-0.205187,3.699500,-1.335250,0.118727,0.148181,0.126887,0.122855,0.099568,0.088882,-1.450604,-3.574703,1.460557,-0.283792,3.630083,-1.309729
171,cal-20260717T104800Z,2026-07-17T11:25:48.043435+00:00,-49.882945,1.012697,-0.133358,-49.557328,0.325617,0.007378,0.015951,0.006796,218,32,-1.693563,-2.851187,1.176000,0.082687,3.941438,-1.427125,0.129903,0.112316,0.116754,0.117044,0.101827,0.089533,-1.637417,-2.928516,1.218620,0.004083,3.872021,-1.401604
172,cal-20260717T104800Z,2026-07-17T11:26:03.443900+00:00,-60.631258,0.874793,-0.369226,-60.305641,0.325617,0.006833,0.002419,0.002817,217,32,-2.073313,-2.296875,1.010625,0.483875,3.880187,-1.417938,0.093501,0.142858,0.100920,0.092929,0.108100,0.089696,-2.017167,-2.374203,1.053245,0.405271,3.810771,-1.392417
173,cal-20260717T104800Z,2026-07-17T11:26:37.188668+00:00,60.356557,-0.539320,-5.121692,60.682174,0.325617,0.004183,0.001642,0.009074,210,32,2.618438,-2.012062,0.701313,-2.333625,-1.393438,0.520625,0.134588,0.124421,0.108814,0.080419,0.081555,0.084183,2.674583,-2.089391,0.743932,-2.412229,-1.462854,0.546146
174,cal-20260717T104800Z,2026-07-17T11:26:45.751237+00:00,50.589925,-0.947913,-4.919049,50.915542,0.325617,0.005455,0.007153,0.006485,211,32,2.523500,-2.799125,1.016750,-2.388750,-0.640062,0.171500,0.145144,0.136197,0.110623,0.101875,0.105562,0.108502,2.579646,-2.876453,1.059370,-2.467354,-0.709479,0.197021
175,cal-20260717T104800Z,2026-07-17T11:26:55.803709+00:00,40.489090,0.230838,-5.420064,40.814707,0.325617,0.004681,0.002363,0.005387,211,32,2.238688,-3.218688,1.191312,-2.529625,0.150062,-0.116375,0.102962,0.119661,0.134300,0.115252,0.121906,0.094582,2.294833,-3.296016,1.233932,-2.608229,0.080646,-0.090854
176,cal-20260717T104800Z,2026-07-17T11:27:06.287377+00:00,30.458913,0.711094,-5.906824,30.784530,0.325617,0.004179,0.004112,0.002534,217,32,1.956937,-3.702562,1.384250,-2.434687,1.078000,-0.401187,0.135162,0.113346,0.092302,0.114366,0.089749,0.087510,2.013083,-3.779891,1.426870,-2.513292,1.008583,-0.375667
177,cal-20260717T104800Z,2026-07-17T11:27:15.067633+00:00,20.486867,0.731290,-5.847649,20.812484,0.325617,0.001121,0.004767,0.001495,210,32,1.669062,-4.036375,1.522063,-2.189688,1.813000,-0.710500,0.107019,0.132741,0.121906,0.091829,0.108502,0.093137,1.725208,-4.113703,1.564682,-2.268292,1.743583,-0.684979
178,cal-20260717T104800Z,2026-07-17T11:27:26.528077+00:00,10.457148,-0.880434,-5.529045,10.782765,0.325617,0.029209,0.020343,0.008689,217,32,1.283187,-4.753000,1.865063,-1.626187,2.404063,-0.924875,0.130201,0.142994,0.109876,0.113687,0.105562,0.113900,1.339333,-4.830328,1.907682,-1.704792,2.334646,-0.899354
179,cal-20260717T104800Z,2026-07-17T11:27:35.441738+00:00,0.613949,-1.007158,-5.310438,0.939566,0.325617,0.002448,0.004693,0.006175,218,32,0.854438,-4.982687,1.975313,-1.228063,2.967563,-1.114750,0.127496,0.149579,0.124732,0.078654,0.109169,0.092302,0.910583,-5.060016,2.017932,-1.306667,2.898146,-1.089229
180,cal-20260717T104800Z,2026-07-17T11:27:50.304860+00:00,-10.885126,0.264589,-5.308637,-10.559509,0.325617,0.019457,0.014150,0.005519,211,32,0.388937,-4.777500,1.917125,-0.869750,3.641313,-1.365875,0.148279,0.108502,0.113900,0.098787,0.086621,0.096205,0.445083,-4.854828,1.959745,-0.948354,3.571896,-1.340354
181,cal-20260717T104800Z,2026-07-17T11:27:56.661612+00:00,-20.356699,-0.065140,-4.939967,-20.031082,0.325617,0.010497,0.006385,0.014358,210,32,-0.079625,-4.823437,1.950813,-0.474687,3.852625,-1.405687,0.139567,0.133432,0.112316,0.090126,0.087786,0.101446,-0.023479,-4.900766,1.993432,-0.553292,3.783208,-1.380167
182,cal-20260717T104800Z,2026-07-17T11:28:12.809109+00:00,-30.630153,-0.904733,-5.901216,-30.304536,0.325617,0.001705,0.005560,0.008565,218,32,-0.560438,-4.991875,2.018187,0.088813,3.953688,-1.454688,0.100295,0.105424,0.113687,0.087510,0.101446,0.102962,-0.504292,-5.069203,2.060807,0.010208,3.884271,-1.429167
183,cal-20260717T104800Z,2026-07-17T11:28:59.159915+00:00,-40.872590,0.282053,-5.824161,-40.546973,0.325617,0.008467,0.005177,0.006030,210,32,-0.952438,-4.321187,1.822188,0.425687,4.284438,-1.540437,0.106293,0.120307,0.082028,0.088391,0.087067,0.093914,-0.896292,-4.398516,1.864807,0.347083,4.215021,-1.514917
184,cal-20260717T104800Z,2026-07-17T11:29:05.257403+00:00,-50.314987,0.315720,-5.680019,-49.989370,0.325617,0.002896,0.006824,0.003943,217,32,-1.442438,-3.892437,1.641500,0.744188,4.247688,-1.558812,0.132266,0.147755,0.116754,0.108100,0.101446,0.094325,-1.386292,-3.969766,1.684120,0.665583,4.178271,-1.533292
185,cal-20260717T104800Z,2026-07-17T11:29:13.974568+00:00,-59.897678,0.457966,-5.614353,-59.572061,0.325617,0.167143,0.006526,0.039401,211,32,-1.907938,-3.316688,1.470000,1.105563,4.177250,-1.463875,0.131679,0.129604,0.126925,0.083432,0.104872,0.102444,-1.851792,-3.394016,1.512620,1.026958,4.107833,-1.438354
186,cal-20260717T104800Z,2026-07-17T11:29:49.071942+00:00,60.460051,-0.412946,-10.093686,60.785668,0.325617,0.003815,0.004557,0.002614,211,32,3.215625,-1.699688,0.346062,-2.777687,-1.105563,0.251125,0.139567,0.118360,0.111277,0.088391,0.093914,0.102444,3.271771,-1.777016,0.388682,-2.856292,-1.174979,0.276646
187,cal-20260717T104800Z,2026-07-17T11:29:56.221732+00:00,49.707850,-0.535324,-10.016585,50.033467,0.325617,0.058636,0.006081,0.051895,217,32,3.151312,-2.646000,0.787062,-2.670500,-0.137813,-0.107188,0.129604,0.126925,0.104084,0.089749,0.105195,0.100680,3.207458,-2.723328,0.829682,-2.749104,-0.207229,-0.081667
188,cal-20260717T104800Z,2026-07-17T11:30:04.359870+00:00,40.861726,-0.642166,-10.032216,41.187343,0.325617,0.052965,0.004126,0.031873,211,32,3.050250,-3.417750,1.050437,-2.483688,0.646188,-0.367500,0.116089,0.123836,0.127496,0.077163,0.092668,0.074676,3.106396,-3.495078,1.093057,-2.562292,0.576771,-0.341979
189,cal-20260717T104800Z,2026-07-17T11:30:11.456692+00:00,30.321135,-0.727530,-9.875359,30.646752,0.325617,0.001803,0.011187,0.010872,210,32,2.725625,-4.155812,1.353625,-2.192750,1.534312,-0.692125,0.127988,0.119012,0.112532,0.095600,0.107381,0.089533,2.781771,-4.233141,1.396245,-2.271354,1.464896,-0.666604
190,cal-20260717T104800Z,2026-07-17T11:30:19.204454+00:00,20.289481,-0.877356,-9.737618,20.615098,0.325617,0.001703,0.009633,0.002767,210,32,2.407125,-4.710125,1.693563,-1.797688,2.275437,-0.961625,0.113900,0.136197,0.125042,0.101446,0.098738,0.084183,2.463271,-4.787453,1.736182,-1.876292,2.206021,-0.936104
191,cal-20260717T104800Z,2026-07-17T11:30:26.008015+00:00,10.169192,-0.969620,-9.571223,10.494809,0.325617,0.004186,0.011002,0.003347,217,32,2.012062,-5.145000,1.846688,-1.384250,2.946125,-1.169875,0.093085,0.111321,0.102962,0.110623,0.096205,0.092929,2.068208,-5.222328,1.889307,-1.462854,2.876708,-1.144354
192,cal-20260717T104800Z,2026-07-17T11:30:32.471126+00:00,0.449288,-1.033962,-9.479364,0.774905,0.325617,0.054044,0.004588,0.023592,218,32,1.620062,-5.426750,2.039625,-0.912625,3.426938,-1.298500,0.108457,0.133469,0.123052,0.087786,0.104084,0.105608,1.676208,-5.504078,2.082245,-0.991229,3.357521,-1.272979
193,cal-20260717T104800Z,2026-07-17T11:30:39.038282+00:00,-10.173450,-1.069366,-9.388105,-9.847833,0.325617,0.004330,0.002963,0.005517,214,32,1.108625,-5.622750,2.131500,-0.431812,3.834250,-1.473062,0.115252,0.128743,0.121946,0.095953,0.118727,0.084356,1.164771,-5.700078,2.174120,-0.510417,3.764833,-1.447542
194,cal-20260717T104800Z,2026-07-17T11:30:47.087833+00:00,-20.663824,-1.004565,-9.218061,-20.338207,0.325617,0.003350,0.011197,0.003456,211,32,0.588000,-5.622750,2.208063,0.052063,4.134375,-1.534312,0.089749,0.172007,0.089696,0.089696,0.112532,0.077163,0.644146,-5.700078,2.250682,-0.026542,4.064958,-1.508792
195,cal-20260717T104800Z,2026-07-17T11:31:03.820884+00:00,-29.880293,-0.679133,-10.467779,-29.554676,0.325617,0.006572,0.010472,0.006393,217,32,0.300125,-5.653375,2.211125,0.572688,4.373250,-1.586375,0.113900,0.100920,0.111146,0.079145,0.088882,0.094582,0.356271,-5.730703,2.253745,0.494083,4.303833,-1.560854
196,cal-20260717T104800Z,2026-07-17T11:31:10.041547+00:00,-40.343773,-0.600092,-10.337793,-40.018156,0.325617,0.007268,0.004523,0.009842,218,32,-0.388937,-5.353250,2.174375,1.025937,4.419188,-1.558812,0.107019,0.110623,0.103945,0.086172,0.117704,0.076152,-0.332792,-5.430578,2.216995,0.947333,4.349771,-1.533292
197,cal-20260717T104800Z,2026-07-17T11:31:17.054004+00:00,-50.116300,-0.513371,-10.304710,-49.790683,0.325617,0.002814,0.004120,0.012816,210,32,-0.980000,-4.906125,2.061062,1.353625,4.318125,-1.509813,0.108502,0.116588,0.080599,0.115252,0.129193,0.095953,-0.923854,-4.983453,2.103682,1.275021,4.248708,-1.484292
198,cal-20260717T104800Z,2026-07-17T11:31:24.744957+00:00,-60.935800,-0.429381,-10.347400,-60.610183,0.325617,0.006864,0.005369,0.005805,217,32,-1.681312,-4.177250,1.843625,1.693563,4.109875,-1.411813,0.114366,0.131127,0.125544,0.103338,0.099373,0.092668,-1.625167,-4.254578,1.886245,1.614958,4.040458,-1.386292
199,cal-20260717T104800Z,2026-07-17T11:32:08.957238+00:00,59.758273,-5.495003,10.125547,60.083890,0.325617,0.011658,0.004164,0.006271,218,32,1.059625,-2.642937,1.188250,-0.973875,-1.237250,0.633938,0.125544,0.139671,0.140259,0.105424,0.092302,0.086172,1.115771,-2.720266,1.230870,-1.052479,-1.306667,0.659458
200,cal-20260717T104800Z,2026-07-17T11:32:14.821909+00:00,50.329809,-5.620143,10.216010,50.655426,0.325617,0.018964,0.004334,0.008545,218,32,0.735000,-3.053313,1.353625,-1.148438,-0.872812,0.465500,0.116754,0.138837,0.130386,0.109169,0.117704,0.089749,0.791146,-3.130641,1.396245,-1.227042,-0.942229,0.491021
201,cal-20260717T104800Z,2026-07-17T11:32:23.725960+00:00,40.581145,-5.647932,10.201775,40.906762,0.325617,0.010882,0.001339,0.002929,217,32,0.336875,-3.316688,1.485313,-1.255625,-0.468562,0.315437,0.116588,0.086621,0.117044,0.103945,0.104826,0.098738,0.393021,-3.394016,1.527932,-1.334229,-0.537979,0.340958
202,cal-20260717T104800Z,2026-07-17T11:32:34.505645+00:00,30.176448,-5.642296,10.221154,30.502065,0.325617,0.011068,0.009001,0.003363,217,32,-0.076563,-3.656625,1.546563,-1.304625,0.018375,0.137813,0.123797,0.115252,0.140225,0.106884,0.094582,0.102207,-0.020417,-3.733953,1.589182,-1.383229,-0.051042,0.163333
203,cal-20260717T104800Z,2026-07-17T11:32:40.476698+00:00,20.589095,-5.722198,10.283384,20.914712,0.325617,0.006278,0.003399,0.004072,217,32,-0.490000,-3.846500,1.555750,-1.329125,0.437937,-0.021438,0.114070,0.131716,0.104872,0.099373,0.102585,0.110579,-0.433854,-3.923828,1.598370,-1.407729,0.368521,0.004083
204,cal-20260717T104800Z,2026-07-17T11:32:49.009292+00:00,10.116348,-5.697121,10.336113,10.441965,0.325617,0.003460,0.004026,0.005071,211,32,-0.842187,-3.874062,1.598625,-1.283187,0.842187,-0.220500,0.146967,0.116712,0.106884,0.094325,0.108100,0.082558,-0.786042,-3.951391,1.641245,-1.361792,0.772771,-0.194979
205,cal-20260717T104800Z,2026-07-17T11:32:56.207416+00:00,-0.016012,-5.720225,10.390301,0.309605,0.325617,0.014228,0.008722,0.010745,218,32,-1.203563,-3.800562,1.506750,-1.185188,1.237250,-0.379750,0.129903,0.126275,0.113389,0.103712,0.123836,0.095600,-1.147417,-3.877891,1.549370,-1.263792,1.167833,-0.354229
206,cal-20260717T104800Z,2026-07-17T11:33:04.719965+00:00,-10.299265,-5.740554,10.383424,-9.973648,0.325617,0.006450,0.013782,0.010924,210,32,-1.592500,-3.644375,1.399563,-1.093312,1.555750,-0.535937,0.116754,0.120508,0.125042,0.105928,0.092302,0.093085,-1.536354,-3.721703,1.442182,-1.171917,1.486333,-0.510417
207,cal-20260717T104800Z,2026-07-17T11:33:10.655367+00:00,-20.320395,-5.691718,10.411723,-19.994778,0.325617,0.004778,0.010255,0.014186,217,32,-1.877312,-3.387125,1.255625,-0.927937,1.858937,-0.633938,0.127192,0.121787,0.123052,0.093085,0.128102,0.074611,-1.821167,-3.464453,1.298245,-1.006542,1.789521,-0.608417
208,cal-20260717T104800Z,2026-07-17T11:33:15.560799+00:00,-30.279666,-5.664021,10.429612,-29.954049,0.325617,0.006419,0.017802,0.014197,210,32,-2.152938,-2.989000,1.004500,-0.695188,2.061062,-0.728875,0.097951,0.119378,0.119378,0.100680,0.084356,0.082323,-2.096792,-3.066328,1.047120,-0.773792,1.991646,-0.703354
209,cal-20260717T104800Z,2026-07-17T11:33:22.223280+00:00,-40.768441,-5.630090,10.410529,-40.442824,0.325617,0.002766,0.018447,0.017535,217,32,-2.394875,-2.456125,0.811562,-0.502250,2.183562,-0.814625,0.131569,0.145011,0.106293,0.088882,0.097157,0.076470,-2.338729,-2.533453,0.854182,-0.580854,2.114146,-0.789104
210,cal-20260717T104800Z,2026-07-17T11:33:28.377986+00:00,-50.575447,-5.467646,10.412695,-50.249830,0.325617,0.018015,0.027300,0.051363,218,32,-2.520437,-1.846688,0.508375,-0.336875,2.241750,-0.842187,0.103338,0.129604,0.106884,0.102444,0.104872,0.110928,-2.464292,-1.924016,0.550995,-0.415479,2.172333,-0.816667
211,cal-20260717T104800Z,2026-07-17T11:33:36.257112+00:00,-60.093450,-5.404734,10.643711,-59.767833,0.325617,0.025733,0.013282,0.062254,217,32,-2.603125,-1.194375,0.232750,-0.101062,2.321375,-0.897312,0.119216,0.135055,0.104872,0.097951,0.094582,0.070885,-2.546979,-1.271703,0.275370,-0.179667,2.251958,-0.871792
212,cal-20260717T104800Z,2026-07-17T11:34:30.858481+00:00,60.880421,-5.615189,5.494908,61.206038,0.325617,0.010085,0.005403,0.010062,218,32,1.558812,-2.774625,1.249500,-1.270938,-1.240312,0.566562,0.132559,0.115252,0.131716,0.097951,0.104456,0.088828,1.614958,-2.851953,1.292120,-1.349542,-1.309729,0.592083
213,cal-20260717T104800Z,2026-07-17T11:34:38.006455+00:00,50.777130,-5.554615,5.482608,51.102747,0.325617,0.029598,0.057428,0.020282,210,32,1.267875,-3.393250,1.482250,-1.402625,-0.780938,0.431812,0.129193,0.148833,0.116089,0.100920,0.091406,0.085722,1.324021,-3.470578,1.524870,-1.481229,-0.850354,0.457333
214,cal-20260717T104800Z,2026-07-17T11:34:45.031047+00:00,40.779827,-5.455427,5.499526,41.105444,0.325617,0.015898,0.010998,0.003502,210,32,0.817688,-3.837312,1.626187,-1.457750,-0.281750,0.245000,0.120949,0.096757,0.110928,0.104872,0.110623,0.099568,0.873833,-3.914641,1.668807,-1.536354,-0.351167,0.270521
215,cal-20260717T104800Z,2026-07-17T11:34:51.042552+00:00,30.065747,-5.485624,5.524619,30.391364,0.325617,0.012454,0.001902,0.008058,210,32,0.392000,-4.244625,1.760938,-1.500625,0.235813,0.027563,0.129343,0.084183,0.109876,0.084183,0.099130,0.087067,0.448146,-4.321953,1.803557,-1.579229,0.166396,0.053083
216,cal-20260717T104800Z,2026-07-17T11:34:58.528254+00:00,20.244953,-5.516406,5.548492,20.570570,0.325617,0.016182,0.004101,0.003742,210,32,-0.058188,-4.477375,1.822188,-1.451625,0.676813,-0.186812,0.116380,0.094582,0.113687,0.080419,0.080117,0.106657,-0.002042,-4.554703,1.864807,-1.530229,0.607396,-0.161292
217,cal-20260717T104800Z,2026-07-17T11:35:05.039205+00:00,10.392558,-5.579253,5.550176,10.718175,0.325617,0.003488,0.010007,0.005401,211,32,-0.545125,-4.590687,1.825250,-1.329125,1.169875,-0.333813,0.159265,0.131973,0.116089,0.105424,0.092929,0.069784,-0.488979,-4.668016,1.867870,-1.407729,1.100458,-0.308292
218,cal-20260717T104800Z,2026-07-17T11:35:12.200965+00:00,0.229926,-5.600034,5.604107,0.555543,0.325617,0.007591,0.008687,0.034713,217,32,-0.909563,-4.569250,1.828313,-1.225000,1.601687,-0.529813,0.100295,0.138033,0.107381,0.096406,0.088391,0.108100,-0.853417,-4.646578,1.870932,-1.303604,1.532271,-0.504292
219,cal-20260717T104800Z,2026-07-17T11:35:19.594445+00:00,-10.350275,-5.583740,5.732287,-10.024658,0.325617,0.002537,0.009836,0.005096,211,32,-1.362812,-4.410000,1.684375,-1.007562,1.917125,-0.679875,0.132559,0.114070,0.094582,0.093914,0.089533,0.092929,-1.306667,-4.487328,1.726995,-1.086167,1.847708,-0.654354
220,cal-20260717T104800Z,2026-07-17T11:35:26.988304+00:00,-20.300150,-5.581834,5.860529,-19.974533,0.325617,0.002026,0.011520,0.011002,211,32,-1.724187,-4.171125,1.598625,-0.765625,2.177437,-0.774813,0.140501,0.155326,0.135055,0.130386,0.098738,0.090982,-1.668042,-4.248453,1.641245,-0.844229,2.108021,-0.749292
221,cal-20260717T104800Z,2026-07-17T11:35:33.874059+00:00,-30.284147,-5.509564,5.892929,-29.958530,0.325617,0.001950,0.020145,0.010977,217,32,-2.134562,-3.739313,1.375063,-0.551250,2.376500,-0.851375,0.116047,0.099908,0.120628,0.092302,0.111321,0.084183,-2.078417,-3.816641,1.417682,-0.629854,2.307083,-0.825854
222,cal-20260717T104800Z,2026-07-17T11:35:40.204355+00:00,-41.096183,-5.408058,6.036456,-40.770566,0.325617,0.018680,0.032902,0.046202,211,32,-2.483687,-3.178875,1.102500,-0.324625,2.462250,-0.921813,0.128404,0.119216,0.121946,0.094582,0.092302,0.095953,-2.427542,-3.256203,1.145120,-0.403229,2.392833,-0.896292
223,cal-20260717T104800Z,2026-07-17T11:35:47.376196+00:00,-50.665235,-5.336841,6.160258,-50.339618,0.325617,0.002973,0.004190,0.003394,210,32,-2.682750,-2.517375,0.802375,-0.076563,2.584750,-0.976938,0.133469,0.115252,0.125544,0.092250,0.110623,0.107019,-2.626604,-2.594703,0.844995,-0.155167,2.515333,-0.951417
224,cal-20260717T104800Z,2026-07-17T11:35:54.433551+00:00,-61.221715,-5.166121,6.178533,-60.896098,0.325617,0.003711,0.002597,0.003343,210,32,-2.869563,-1.678250,0.486937,0.159250,2.569438,-0.986125,0.141325,0.128743,0.068099,0.101875,0.101827,0.102444,-2.813417,-1.755578,0.529557,0.080646,2.500021,-0.960604
225,cal-20260717T104800Z,2026-07-17T11:36:29.557416+00:00,60.737470,-5.462378,-0.374597,61.063087,0.325617,0.019813,0.003907,0.008171,218,32,2.419375,-2.976750,1.240312,-1.601687,-1.111687,0.483875,0.125544,0.107786,0.115713,0.115713,0.088391,0.074416,2.475521,-3.054078,1.282932,-1.680292,-1.181104,0.509396
226,cal-20260717T104800Z,2026-07-17T11:36:35.886093+00:00,50.940392,-5.505331,-0.362052,51.266009,0.325617,0.015810,0.010195,0.004182,211,32,2.048812,-3.757687,1.519000,-1.690500,-0.609437,0.232750,0.125351,0.120949,0.105608,0.126925,0.095549,0.116089,2.104958,-3.835016,1.561620,-1.769104,-0.678854,0.258271
227,cal-20260717T104800Z,2026-07-17T11:36:41.758009+00:00,40.557022,-5.496665,-0.275236,40.882639,0.325617,0.003925,0.004675,0.002146,210,32,1.617000,-4.449813,1.745625,-1.684375,-0.024500,0.042875,0.105608,0.131385,0.154326,0.087786,0.099568,0.092929,1.673146,-4.527141,1.788245,-1.762979,-0.093917,0.068396
228,cal-20260717T104800Z,2026-07-17T11:36:48.263540+00:00,31.015034,-5.467599,-0.270120,31.340651,0.325617,0.013648,0.009954,0.007856,217,32,1.151500,-4.912250,1.960000,-1.632313,0.480812,-0.168437,0.119378,0.092302,0.102632,0.110228,0.106657,0.114704,1.207646,-4.989578,2.002620,-1.710917,0.411396,-0.142917
229,cal-20260717T104800Z,2026-07-17T11:36:55.419509+00:00,20.229734,-5.502561,-0.162370,20.555351,0.325617,0.003946,0.008170,0.002255,210,32,0.633938,-5.273625,2.116188,-1.494500,1.074938,-0.373625,0.119337,0.097802,0.102207,0.086229,0.112660,0.080419,0.690083,-5.350953,2.158807,-1.573104,1.005521,-0.348104
230,cal-20260717T104800Z,2026-07-17T11:37:02.001768+00:00,10.323397,-5.524943,-0.101539,10.649014,0.325617,0.003658,0.001774,0.002803,218,32,0.177625,-5.552313,2.165188,-1.292375,1.561875,-0.569625,0.135055,0.104456,0.125351,0.109744,0.092929,0.094582,0.233771,-5.629641,2.207807,-1.370979,1.492458,-0.544104
231,cal-20260717T104800Z,2026-07-17T11:37:10.069457+00:00,-0.309453,-5.623725,-0.022679,0.016164,0.325617,0.001491,0.007888,0.006870,211,32,-0.364437,-5.631938,2.152938,-1.041250,1.960000,-0.771750,0.134588,0.108457,0.091406,0.085326,0.114070,0.088882,-0.308292,-5.709266,2.195557,-1.119854,1.890583,-0.746229
232,cal-20260717T104800Z,2026-07-17T11:37:15.580820+00:00,-10.618259,-5.695999,0.070496,-10.292642,0.325617,0.001647,0.007594,0.007202,218,32,-0.912625,-5.515563,2.162125,-0.808500,2.309125,-0.833000,0.130386,0.114704,0.096205,0.086229,0.082323,0.099568,-0.856479,-5.592891,2.204745,-0.887104,2.239708,-0.807479
233,cal-20260717T104800Z,2026-07-17T11:37:21.786037+00:00,-20.383627,-5.712019,0.191465,-20.058010,0.325617,0.004786,0.013900,0.005443,210,32,-1.381188,-5.359375,2.021250,-0.474687,2.575563,-0.970812,0.127799,0.123052,0.116089,0.105928,0.111971,0.087510,-1.325042,-5.436703,2.063870,-0.553292,2.506146,-0.945292
234,cal-20260717T104800Z,2026-07-17T11:37:28.748870+00:00,-30.564176,-5.738115,0.419948,-30.238559,0.325617,0.001543,0.004903,0.006593,210,32,-1.926312,-4.939813,1.880375,-0.257250,2.756250,-1.050437,0.137717,0.149060,0.123052,0.118727,0.092302,0.111971,-1.870167,-5.017141,1.922995,-0.335854,2.686833,-1.024917
235,cal-20260717T104800Z,2026-07-17T11:37:36.410967+00:00,-40.398061,-5.684229,0.539212,-40.072444,0.325617,0.063979,0.010074,0.019626,217,32,-2.397938,-4.345688,1.656813,0.027563,2.808312,-1.074938,0.099519,0.125968,0.132559,0.090555,0.115713,0.091406,-2.341792,-4.423016,1.699432,-0.051042,2.738896,-1.049417
236,cal-20260717T104800Z,2026-07-17T11:37:42.675897+00:00,-50.586456,-5.659766,0.638900,-50.260839,0.325617,0.037648,0.018751,0.016127,210,32,-2.783813,-3.604563,1.356688,0.254188,2.835875,-1.096375,0.108100,0.133432,0.131973,0.085722,0.113900,0.087786,-2.727667,-3.681891,1.399307,0.175583,2.766458,-1.070854
237,cal-20260717T104800Z,2026-07-17T11:37:48.742419+00:00,-60.721785,-5.592068,0.706677,-60.396168,0.325617,0.001987,0.005997,0.011748,217,32,-3.175813,-2.688875,0.955500,0.514500,2.789938,-1.087187,0.110928,0.102444,0.121946,0.096406,0.086172,0.071969,-3.119667,-2.766203,0.998120,0.435896,2.720521,-1.061667
238,cal-20260717T104800Z,2026-07-17T11:38:11.159662+00:00,60.376737,-5.663999,-5.038147,60.702354,0.325617,0.004126,0.003605,0.005976,218,32,3.215625,-3.093125,1.111687,-1.849750,-0.934063,0.333813,0.135055,0.121787,0.101446,0.116089,0.086172,0.102207,3.271771,-3.170453,1.154307,-1.928354,-1.003479,0.359333
239,cal-20260717T104800Z,2026-07-17T11:38:16.817629+00:00,50.347652,-5.910349,-4.958736,50.673269,0.325617,0.009026,0.007568,0.005378,210,32,2.903250,-4.079250,1.479188,-1.868125,-0.324625,0.094938,0.110623,0.113389,0.130201,0.092929,0.109744,0.107019,2.959396,-4.156578,1.521807,-1.946729,-0.394042,0.120458
240,cal-20260717T104800Z,2026-07-17T11:38:23.213628+00:00,40.450428,-6.098018,-4.881633,40.776045,0.325617,0.002288,0.006788,0.002793,211,32,2.511250,-4.872438,1.822188,-1.767062,0.278687,-0.177625,0.107786,0.106293,0.119012,0.128102,0.102962,0.100920,2.567396,-4.949766,1.864807,-1.845667,0.209271,-0.152104
241,cal-20260717T104800Z,2026-07-17T11:38:32.070469+00:00,30.034505,-6.212353,-4.794119,30.360122,0.325617,0.007041,0.008771,0.001893,210,32,2.021250,-5.595188,2.054937,-1.644562,0.836063,-0.352187,0.140259,0.120307,0.139671,0.085269,0.108457,0.099130,2.077396,-5.672516,2.097557,-1.723167,0.766646,-0.326667
242,cal-20260717T104800Z,2026-07-17T11:38:39.063853+00:00,20.891160,-6.247234,-4.747701,21.216777,0.325617,0.001577,0.006817,0.004177,217,32,1.519000,-6.042312,2.247875,-1.448562,1.344437,-0.551250,0.134048,0.110228,0.105424,0.118687,0.109169,0.054251,1.575146,-6.119641,2.290495,-1.527167,1.275021,-0.525729
243,cal-20260717T104800Z,2026-07-17T11:38:45.599918+00:00,10.300894,-6.297111,-4.543453,10.626511,0.325617,0.001393,0.016107,0.002708,211,32,0.955500,-6.428187,2.358125,-1.145375,1.877312,-0.759500,0.111321,0.136019,0.096205,0.100920,0.117044,0.116754,1.011646,-6.505516,2.400745,-1.223979,1.807896,-0.733979
244,cal-20260717T104800Z,2026-07-17T11:38:52.151440+00:00,0.342205,-6.249299,-4.404320,0.667822,0.325617,0.000981,0.014052,0.005341,210,32,0.385875,-6.556812,2.502063,-0.894250,2.250938,-0.866688,0.124304,0.112316,0.126887,0.073632,0.112660,0.086621,0.442021,-6.634141,2.544682,-0.972854,2.181521,-0.841167
245,cal-20260717T104800Z,2026-07-17T11:38:58.728572+00:00,-10.224357,-6.233930,-4.230500,-9.898740,0.325617,0.002121,0.012511,0.004097,217,32,-0.235813,-6.599687,2.474500,-0.563500,2.590875,-1.007562,0.121588,0.123484,0.111321,0.121946,0.099373,0.075642,-0.179667,-6.677016,2.517120,-0.642104,2.521458,-0.982042
246,cal-20260717T104800Z,2026-07-17T11:39:07.122496+00:00,-20.812987,-6.175134,-4.048473,-20.487370,0.325617,0.003798,0.017165,0.003474,217,32,-0.897312,-6.455750,2.385687,-0.229687,2.835875,-1.090250,0.105928,0.146736,0.084813,0.107381,0.108323,0.088882,-0.841167,-6.533078,2.428307,-0.308292,2.766458,-1.064729
